"Esperanto","Interlingua","Esperanto","Interlingua","English"
"Preferredform","Alternativeform","English","PreferredForm","Alternativeform"
"sana","san","sana","san","healthy"
"sano","sanitate","sano","sanitate","health"
"malsana","morba","malade","malsan","sick,unhealthy"
"malsano","morbo","maladia,morbo","malsanitate","malady,illness,disease"
"malsanulejo","hospitalo","hospital","malsanitario","hospital"
"sani?i","reakiri","recovrar","sanar","tobecomehealthy,recover"
"sanigi","kuraci","curar","sanar","tomakehealthy,cure"
"malsani?i","malsani?i","cadermalade","malsanar","tobecomesick,fallill"
