"Name","ImplementationLanguage","Active;Passive","Model","Typicalinput","Otherinput","Typicaloutput"
"Xomega.NetforVisualStudio","C#,XSL,XSD","Active","Mixed","User-definedmodels,XML","Templates,ImportfromDB","CompleteApplication-UserInterface(HTML5,ASP.NET,WPF,SPA),ServiceLayer(REST,WCF),BusinessLayer(EF),DAL,DBscripts,Configfiles,VSprojectfiles"
"Acceleo","Java","Active","Tier","User-definedEMFbasedmodels(UML,Ecore,userdefinedmetamodels)","AnyEMFbasedinput(XtextDSLs,GMFgraphicalmodels,etc.)","Anytextuallanguage."
"Accelerator","C#","Active","Tier","Databaseschema","XMLSchema,Templatesandconfigurationtables","C#,WPF,ASP.NET,MVC,ASP.NET,WCF,WebServices(completeapplication)"
"actifsource","Java","Active","Tier","User-definedModels","ImportfromUML,Ecore.","Anytextuallanguage."
"AdaptiveReuseTechnique(vclang)","Java","Active","Tier","Templates","","Anytext"
"aicodoo","MachineLearning,Java","Active","Mixed","Online-editor","MachineLearningModel","Allprogramminglanguages.Javaincurrentshowcase."
"any<code/>","Java","Active","Tier","User-definedmodels","Customtemplates(Groovy)","Anytextuallanguage,dependsonyourtemplatecode.Built-indirectivesinJava,JPA,Objective-Caddedsincev1.2.0"
"AppsrollerWebFormGenerator","JavaScript","Active","WebTier","Anycode","JavaScript",""
"ApeelPHPCodeGeneratorPro","Delphi","Passive","Tier","Databaseschema","PHP,HTML,CSS","FullApplication–PHP,CSS,ApeelOpenSourceFramework."
"AtomWeaver","C++,Lua","Active","Tier","Treemodelsbuiltusingacooperativetemplatesystem,basedontheABSEmodelingapproach","Codeinanylanguage","Anytextuallanguage"
"Bootify","Java,Kotlin","Passive","Tier","Databaseschema,developmentpreferences","ExistingSQLSchema","SpringBootapplicationwithJPA/Hibernateentities,RESTAPI"
"Catapult","C#,JavaScript,HTML","Active","WebTier","TreemodelsbuiltusingCatapultUI","Templates","C#,JavaScript,HTML,CSS"
"Celerio","Java","Active","Tier","DatabaseschemaConventionoverConfigurationandConfiguration","Customtemplates(velocity)","Anytextuallanguage,buttraditionallyJava,HTML,XML,etc."
"Click2Codeforwindows","VisualBasic6.0","Active","Mixed","User-definedTemplates","Templates","UserInterface"
"Code4Green","C#,VB.NET,ASP.NET,SharePoint,SQL,JAVA,classicalASP,HTML,XML","Active","Tier","","CodeinC#,VB.NET,ASP.NET,SharePoint,SQL,JAVA,classicalASP,HTML,XML","Outputdeterminedbytheselectedlanguagetype.Itisaplaintext."
"Code-bay","PHP,Symfony","Active","Tier","Onlineswaggereditor","","Symfonyphpcode,Swaggerdefinitionfile"
