"Spanish","Portuguese","English"
"cola(<Lat.cauda)","fila;bicha;cauda;rabo;linha(<Fr.file;<Lat.bestius;<Lat.cauda;<Lat.rapum;<Lat.linea)","queue,file,tail"
"vaso(<Lat.vasum)","copo(<Lat.cuppa)","glass,cup"
"copo(<Lat.cuppa)","floco(<Lat.floccus)","flake"
"competencia(<Lat.competentia)","concorrência,competição(<Lat.concurrentia;competitio)","competition"
"despido(<Lat.expetere)","demissão(<Lat.dimiss?o)","dismissal,firing"
"oso(<Lat.ursus)","urso(<Lat.ursus)","bear"
"pez(<Lat.piscis)","peixe(<Lat.piscis<Indo-Europeanpeisk)","fish"
"polvo(<Lat.pulvis)","pó(<Lat.pulv(er)is)","dust"
"tienda(<Lat.tenda<tend?re)","loja;negócio;butique;estabelecimento;depósito(<Fr.loge<Frankishlaubja;<Lat.negotium;<Fr.boutique<Lat.apotheca;<Lat.stabilire;<Lat.depositum)","shop,business,depot"
"ganancia(<Gothicganan)","ganho,lucro,interesse,rendimento,proveito,vencimento,acréscimo(<Frankishwaidanjan;<Lat.lucrum;<Lat.interesse;<Lat.re-+dare;<Lat.profectus;<Lat.vincere;<Lat.accrescere+suffix-imo)","profit,gain,interest"
"inversión(<Lat.inversionis)","investimento(<Lat.investire)","investment"
"embarazada(<Port.embaraçada)","grávida(<Lat.grav?+-idus/-ida)","pregnant"
"estafa(<Ital.staffa)","calote,fraude,burla(<Fr.culotte;<Lat.fraudis;<probablyLat.burr?la)","swindle,fraud,trickery"
"exquisito(<Lat.exquisitus)","refinado;esmerado(<Lat.re+finis;<Lat.exmerare)","exquisite"
"molestia(<Lat.moles)","incómodo,inconveniência,maçada,distúrbio(<Lat.incommodus;<Lat.inconvenientis;<Lat.matea+Port.-ada;<Lat.disturb?um)","inconvenience,disturbance"
"servicios(<Lat.servitium)","lavabo,lavatório,toilette,toalete,WC,sanitário(<Lat.lavabo;<Lat.lavatorium;<Fr.toilette;<Eng.watercloset;<Lat.sanitas)","toilet,WC,lavatory"
"perro(probably<onomatopoeicperr)","cão(<Lat.canis),cachorro(<Lat.catulus+Basque-orro)","dog"
"berro(<Celt.beruros)","agrião(<Gr.ágrios)","watercress"
"aceite(<Ar.az-zayt)","óleo(<Lat.oleum)","oil"
"oficina(<Lat.offic?na<officium<opus+ficium)","escritório,gabinete,atelier,agência,cartório,bureau/birô,departamento,workshop,oficinadereparaçãoautomóvel,garagemauto-mecânica(<Lat.scriptor?um;<Fr.cabinet;<Fr.atelier;<Ital.agenzia;<Lat.carta+suffix-ório;<Fr.atelier;<Lat.departimentum;<Lat.+Grdepartimentum;<Eng.workshop;<Fr.garage+Gr.????+Lat.mechanicus)","office,workshop"
"firma(<Lat.firmus)","assinatura(<Lat.signator)","signature"
"presunto(<Lat.praesumptus)","presumível,suspeito,provável(<Lat.praesumptus;<Lat.suspectum;<Lat.probabilis)","presumed,suspect"
"risco(<Lat.resecare)","falésia(<Fr.falaise)","cliff"
"topo(<Lat.talpa)","toupeira(<Lat.talpa+Port.-eira)","mole,moleskin"
