"Esperanto","Interlingua","Interlingua(Latin-likewordorder)","Latin","English(traditional)"
"PatroNia,kiuestasenlaĉielo,","Patrenostre,quiesinlecelos,","Patrenostre,quiesincelos,","Paternoster,quiesincælis,","OurFather,whoartinheaven,"
"vianomoestusanktigita.","quetunominesiasanctificate;","sanctificanominetue.","sanctificeturnomentuum.","hallowedbethyname;"
"Venuviaregno,","queturegnoveni;","Veniregnotue.","Adveniatregnumtuum.","thykingdomcome,"
"plenumiĝuviavolo,","quetuvoluntatesiafacite","Facitevoluntatetue,","Fiatvoluntastua,","thywillbedone"
"kielenlaĉielo,tielankaŭsurlatero.","comoinlecelo,etiamsuperleterra.","comoincelo,einterra.","sicutincælo,etinterra.","onearth,asitisinheaven."
"Nianpanonĉiutagandonualnihodiaŭ.","Danoshodienostrepanquotidian,","Danoshodiepannostrequotidian,","Panemnostrumquotidianumdanobishodie,","Giveusthisdayourdailybread;"
"Kajpardonualniniajnŝuldojn,","epardonaanosnostredebitas","epardonanosdebitasnostre,","etdimittenobisdebitanostra,","andforgiveusourdebts"
"kielankaŭnipardonasalniajŝuldantoj.","comoetiamnoslospardonaanostredebitores.","comoetiamnospardonadebitoresnostre.","sicutetnosdimittimusdebitoribusnostris.","aswehaveforgivenourdebtors."
"Kajnekondukuninententon,","Enoninducenosintentation,","Enoninducenosintentation,","Etnenosinducasintentationem,","Andleadusnotintotemptation,"
"sedliberigunindelamalbono.","sedliberanosdelmal.","sedliberanosamal.","sedliberanosamalo.","butdeliverusfromevil."
