"Esperanto","Interlingua","Interlingua(Latin-likewordorder)","Latin","English(traditional)"
"PatroNia,kiuestasenla?ielo,","Patrenostre,quiesinlecelos,","Patrenostre,quiesincelos,","Paternoster,quiesincælis,","OurFather,whoartinheaven,"
"vianomoestusanktigita.","quetunominesiasanctificate;","sanctificanominetue.","sanctificeturnomentuum.","hallowedbethyname;"
"Venuviaregno,","queturegnoveni;","Veniregnotue.","Adveniatregnumtuum.","thykingdomcome,"
"plenumi?uviavolo,","quetuvoluntatesiafacite","Facitevoluntatetue,","Fiatvoluntastua,","thywillbedone"
"kielenla?ielo,tielanka?surlatero.","comoinlecelo,etiamsuperleterra.","comoincelo,einterra.","sicutincælo,etinterra.","onearth,asitisinheaven."
"Nianpanon?iutagandonualnihodia?.","Danoshodienostrepanquotidian,","Danoshodiepannostrequotidian,","Panemnostrumquotidianumdanobishodie,","Giveusthisdayourdailybread;"
"Kajpardonualniniajn?uldojn,","epardonaanosnostredebitas","epardonanosdebitasnostre,","etdimittenobisdebitanostra,","andforgiveusourdebts"
"kielanka?nipardonasalniaj?uldantoj.","comoetiamnoslospardonaanostredebitores.","comoetiamnospardonadebitoresnostre.","sicutetnosdimittimusdebitoribusnostris.","aswehaveforgivenourdebtors."
"Kajnekondukuninententon,","Enoninducenosintentation,","Enoninducenosintentation,","Etnenosinducasintentationem,","Andleadusnotintotemptation,"
"sedliberigunindelamalbono.","sedliberanosdelmal.","sedliberanosamal.","sedliberanosamalo.","butdeliverusfromevil."
"Amen.","Amen.","Amen.","Amen.","Amen."
