"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"MovieTweetings","Movieratingdatasetbasedonpublicandwell-structuredtweets","","~710,000","Text","Classification,regression","2018","","S.Dooms"
"Twitter100k","Pairsofimagesandtweets","","100,000","TextandImages","Cross-mediaretrieval","2017","","Y.Hu,etal."
"Sentiment140","Tweetdatafrom2009includingoriginaltext,timestamp,userandsentiment.","Classifiedusingdistantsupervisionfrompresenceofemoticonintweet.","1,578,627","Tweets,comma,separatedvalues","Sentimentanalysis","2009","","A.Goetal."
"ASUTwitterDataset","Twitternetworkdata,notactualtweets.Showsconnectionsbetweenalargenumberofusers.","None.","11,316,811users,85,331,846connections","Text","Clustering,graphanalysis","2009","","R.Zafaranietal."
"SNAPSocialCircles:TwitterDatabase","LargeTwitternetworkdata.","Nodefeatures,circles,andegonetworks.","1,768,149","Text","Clustering,graphanalysis","2012","","J.McAuleyetal."
"TwitterDatasetforArabicSentimentAnalysis","Arabictweets.","Sampleshand-labeledaspositiveornegative.","2000","Text","Classification","2014","","N.Abdulla"
"BuzzinSocialMediaDataset","DatafromTwitterandTom'sHardware.Thisdatasetfocusesonspecificbuzztopicsbeingdiscussedonthosesites.","Dataiswindowedsothattheusercanattempttopredicttheeventsleadinguptosocialmediabuzz.","140,000","Text","Regression,Classification","2013","","F.Kawalaetal."
"ParaphraseandSemanticSimilarityinTwitter(PIT)","Thisdatasetfocusesonwhethertweetshave(almost)samemeaning/informationornot.Manuallylabeled.","tokenization,part-of-speechandnamedentitytagging","18,762","Text","Regression,Classification","2015","","Xuetal."
"GeoparseTwitterbenchmarkdataset","Thisdatasetcontainstweetsduringdifferentnewseventsindifferentcountries.Manuallylabeledlocationmentions.","locationannotationsaddedtoJSONmetadata","6,386","Tweets,JSON","Classification,InformationExtraction","2014","","S.E.Middletonetal."
"DutchSocialmediacollection","ThisdatasetcontainsCOVID-19tweetsmadebyDutchspeakersorusersfromNetherlands.Thedatahasbeenmachinelabeled","classifiedforsentiment,tweettext&userdescriptiontranslatedtoEnglish.Industrymentionareextracted","271,342","JSONL","Sentiment,multi-labelclassification,machinetranslation","2020","","AaakshGupta,CoronaWhy"
