"Latin","Spanish","Portuguese","Examples","Meaning"
"cl-,fl-,pl-","ll-orpl","ch-","cl?m?re?S.llamar,P.chamarplumbum?S.plomo,P.chumboflammam?S.llama,P.chamapl?num?S.lleno,P.cheio(alsopleno)","'tocall''lead'(metal)'flame''full'"
"-lt-,-ct-","-ch-","-it-","multum?S.mucho,P.muitonoctem?S.noche,P.noitepectum?S.pecho,P.peito","'much''night''chest'"
"f-","h-(latersilent)orf-","f-","f?bul?re?S.hablar,P.falarf?lium?S.hijo,P.filhofocum?S.fuego,P.fogo","'tospeak''son''fire'"
"j(a)-","ya-","ja-","iam?S.ya,P.jáiacere?S.yacer,P.jazer(botharchaic)","'already''tolie,asinagrave'"
"-l-","-l-","(elided)","caelum?S.cielo,P.céu(arch.ceo)vol?re?S.volar,P.voar","'sky''tofly'"
"-c(u)l-,-li-","-j-","-lh-","oculum?S.ojo,P.olhof?lium?S.hijo,P.filho","'eye''son'"
"-ll-","-ll-","-l-","castellum?S.castillo,P.castelo","'castle'"
"-n-","-n-","(elided)","gener?lem?S.general,P.geralten?re?S.tener,P.ter","'general'(adj.)'tohave'"
"-ni-","-ñ-","-nh-","v?nea?S.viña,P.vinha","'vine'"
"-nn-","-ñ-","-n-","annum?S.año,P.anocannam?S.caña,P.cana","'year''reed'"
